codigo_ibge;municipio;latitude;longitude;capital;codigo_uf;uf;estado;municipio_upper;municipio_upper2
5200050;Abadia de Goiás;-167.573;-494.412;0;52;GO;Goiás;ABADIA DE GOIAS;-
5200100;Abadiânia;-16.197;-487.057;0;52;GO;Goiás;ABADIANIA;-
3100203;Abaeté;-191.551;-454.444;0;31;MG;Minas Gerais;ABAETE;-
1500107;Abaetetuba;-172.183;-488.788;0;15;PA;Pará;ABAETETUBA;-
2300101;Abaiara;-734.588;-390.416;0;23;CE;Ceará;ABAIARA;-
2900108;Abaíra;-132.488;-416.619;0;29;BA;Bahia;ABAIRA;-
2900207;Abaré;-872.073;-391.162;0;29;BA;Bahia;ABARE;-
4100103;Abatiá;-233.049;-503.133;0;41;PR;Paraná;ABATIA;-
1500131;Abel Figueiredo;-495.333;-483.933;0;15;PA;Pará;ABEL FIGUEIREDO;-
3100302;Abre Campo;-202.996;-424.743;0;31;MG;Minas Gerais;ABRE CAMPO;-
2600054;Abreu e Lima;-790.072;-348.984;0;26;PE;Pernambuco;ABREU E LIMA;-
1700251;Abreulândia;-962.101;-491.518;0;17;TO;Tocantins;ABREULANDIA;-
3100401;Acaiaca;-20.359;-431.439;0;31;MG;Minas Gerais;ACAIACA;-
2100055;Açailândia;-494.714;-475.004;0;21;MA;Maranhão;ACAILANDIA;-
2900306;Acajutiba;-116.575;-380.197;0;29;BA;Bahia;ACAJUTIBA;-
1500206;Acará;-195.383;-481.985;0;15;PA;Pará;ACARA;-
2300150;Acarape;-422.083;-387.055;0;23;CE;Ceará;ACARAPE;-
2300200;Acaraú;-288.769;-401.183;0;23;CE;Ceará;ACARAU;-
2400109;Acari;-64.282;-366.347;0;24;RN;Rio Grande do Norte;ACARI;-
2200053;Acauã;-821.954;-410.831;0;22;PI;Piauí;ACAUA;-
4300034;Aceguá;-318.665;-541.615;0;43;RS;Rio Grande do Sul;ACEGUA;-
2300309;Acopiara;-608.911;-39.448;0;23;CE;Ceará;ACOPIARA;-
5100102;Acorizal;-15.194;-563.632;0;51;MT;Mato Grosso;ACORIZAL;-
1200013;Acrelândia;-982.581;-668.972;0;12;AC;Acre;ACRELANDIA;-
5200134;Acreúna;-17.396;-503.749;0;52;GO;Goiás;ACREUNA;-
3500105;Adamantina;-21.682;-510.737;0;35;SP;São Paulo;ADAMANTINA;-
5200159;Adelândia;-164.127;-501.657;0;52;GO;Goiás;ADELANDIA;-
3500204;Adolfo;-212.325;-496.451;0;35;SP;São Paulo;ADOLFO;-
4100202;Adrianópolis;-246.606;-489.922;0;41;PR;Paraná;ADRIANOPOLIS;-
2900355;Adustina;-105.437;-381.113;0;29;BA;Bahia;ADUSTINA;-
2600104;Afogados da Ingazeira;-774.312;-37.631;0;26;PE;Pernambuco;AFOGADOS DA INGAZEIRA;-
2400307;Afonso Bezerra;-549.229;-365.075;0;24;RN;Rio Grande do Norte;AFONSO BEZERRA;-
2100105;Afonso Cunha;-413.631;-433.275;0;21;MA;Maranhão;AFONSO CUNHA;-
2600203;Afrânio;-851.136;-410.095;0;26;PE;Pernambuco;AFRANIO;-
1500305;Afuá;-0.154874;-503.861;0;15;PA;Pará;AFUA;-
2600302;Agrestina;-845.966;-359.447;0;26;PE;Pernambuco;AGRESTINA;-
2200103;Agricolândia;-579.676;-426.664;0;22;PI;Piauí;AGRICOLANDIA;-
4200309;Agronômica;-272.662;-49.708;0;42;SC;Santa Catarina;AGRONOMICA;-
1500347;Água Azul do Norte;-679.053;-504.791;0;15;PA;Pará;AGUA AZUL DO NORTE;-
5100201;Água Boa;-14.051;-521.601;0;51;MT;Mato Grosso;AGUA BOA;-
2200202;Água Branca;-588.856;-42.637;0;22;PI;Piauí;AGUA BRANCA;-
2500106;Água Branca;-751.144;-376.357;0;25;PB;Paraíba;AGUA BRANCA;-
2700102;Água Branca;-9.262;-37.938;0;27;AL;Alagoas;AGUA BRANCA;-
3100708;Água Comprida;-200.576;-481.069;0;31;MG;Minas Gerais;AGUA COMPRIDA;-
2100154;Água Doce do Maranhão;-284.048;-421.189;0;21;MA;Maranhão;AGUA DOCE DO MARANHAO;-
3200169;Água Doce do Norte;-185.482;-409.854;0;32;ES;Espírito Santo;AGUA DOCE DO NORTE;-
2900405;Água Fria;-118.618;-387.639;0;29;BA;Bahia;AGUA FRIA;-
5200175;Água Fria de Goiás;-149.778;-477.823;0;52;GO;Goiás;AGUA FRIA DE GOIAS;-
5200209;Água Limpa;-180.771;-487.603;0;52;GO;Goiás;AGUA LIMPA;-
2400406;Água Nova;-620.351;-382.941;0;24;RN;Rio Grande do Norte;AGUA NOVA;-
2600401;Água Preta;-870.609;-355.263;0;26;PE;Pernambuco;AGUA PRETA;-
4300059;Água Santa;-281.672;-52.031;0;43;RS;Rio Grande do Sul;AGUA SANTA;-
3500303;Aguaí;-220.572;-469.735;0;35;SP;São Paulo;AGUAI;-
3500402;Águas da Prata;-219.319;-467.176;0;35;SP;São Paulo;AGUAS DA PRATA;-
4200507;Águas de Chapecó;-270.754;-529.808;0;42;SC;Santa Catarina;AGUAS DE CHAPECO;-
3500501;Águas de Lindóia;-224.733;-466.314;0;35;SP;São Paulo;AGUAS DE LINDOIA;-
3500550;Águas de Santa Bárbara;-228.812;-492.421;0;35;SP;São Paulo;AGUAS DE SANTA BARBARA;-
3500600;Águas de São Pedro;-225.977;-478.734;0;35;SP;São Paulo;AGUAS DE SAO PEDRO;-
3100906;Águas Formosas;-170.802;-409.384;0;31;MG;Minas Gerais;AGUAS FORMOSAS;-
4200556;Águas Frias;-268.794;-528.568;0;42;SC;Santa Catarina;AGUAS FRIAS;-
5200258;Águas Lindas de Goiás;-157.617;-482.816;0;52;GO;Goiás;AGUAS LINDAS DE GOIAS;-
4200606;Águas Mornas;-276.963;-488.243;0;42;SC;Santa Catarina;AGUAS MORNAS;-
4300109;Agudo;-296.447;-532.515;0;43;RS;Rio Grande do Sul;AGUDO;-
3500709;Agudos;-224.694;-489.863;0;35;SP;São Paulo;AGUDOS;-
4100301;Agudos do Sul;-259.899;-493.343;0;41;PR;Paraná;AGUDOS DO SUL;-
3200136;Águia Branca;-189.846;-407.437;0;32;ES;Espírito Santo;AGUIA BRANCA;-
2500205;Aguiar;-70.918;-381.681;0;25;PB;Paraíba;AGUIAR;-
1700301;Aguiarnópolis;-655.409;-474.702;0;17;TO;Tocantins;AGUIARNOPOLIS;-
2900603;Aiquara;-141.269;-398.937;0;29;BA;Bahia;AIQUARA;-
2300408;Aiuaba;-657.122;-401.178;0;23;CE;Ceará;AIUABA;-
3101201;Aiuruoca;-219.736;-446.042;0;31;MG;Minas Gerais;AIURUOCA;-
4300208;Ajuricaba;-282.342;-537.757;0;43;RS;Rio Grande do Sul;AJURICABA;-
2500304;Alagoa Grande;-703.943;-356.206;0;25;PB;Paraíba;ALAGOA GRANDE;-
2500403;Alagoa Nova;-705.377;-357.591;0;25;PB;Paraíba;ALAGOA NOVA;-
2500502;Alagoinha;-694.657;-355.332;0;25;PB;Paraíba;ALAGOINHA;-
2600609;Alagoinha;-84.665;-367.788;0;26;PE;Pernambuco;ALAGOINHA;-
2200251;Alagoinha do Piauí;-700.039;-409.282;0;22;PI;Piauí;ALAGOINHA DO PIAUI;-
2900702;Alagoinhas;-121.335;-384.208;0;29;BA;Bahia;ALAGOINHAS;-
3500758;Alambari;-235.503;-47.898;0;35;SP;São Paulo;ALAMBARI;-
2100204;Alcântara;-239.574;-444.062;0;21;MA;Maranhão;ALCANTARA;-
2300507;Alcântaras;-358.537;-405.479;0;23;CE;Ceará;ALCANTARAS;-
2500536;Alcantil;-773.668;-360.511;0;25;PB;Paraíba;ALCANTIL;-
5000252;Alcinópolis;-183.255;-537.042;0;50;MS;Mato Grosso do Sul;ALCINOPOLIS;-
2900801;Alcobaça;-175.195;-392.036;0;29;BA;Bahia;ALCOBACA;-
2100303;Aldeias Altas;-462.621;-434.689;0;21;MA;Maranhão;ALDEIAS ALTAS;-
4300307;Alecrim;-276.579;-547.649;0;43;RS;Rio Grande do Sul;ALECRIM;-
3200201;Alegre;-20.758;-415.382;0;32;ES;Espírito Santo;ALEGRE;-
2200277;Alegrete do Piauí;-724.196;-408.566;0;22;PI;Piauí;ALEGRETE DO PIAUI;-
4300455;Alegria;-278.345;-540.557;0;43;RS;Rio Grande do Sul;ALEGRIA;-
1500404;Alenquer;-194.623;-547.384;0;15;PA;Pará;ALENQUER;-
2400505;Alexandria;-640.533;-380.142;0;24;RN;Rio Grande do Norte;ALEXANDRIA;-
5200308;Alexânia;-160.834;-485.076;0;52;GO;Goiás;ALEXANIA;-
3500808;Alfredo Marcondes;-219.527;-51.414;0;35;SP;São Paulo;ALFREDO MARCONDES;-
4200705;Alfredo Wagner;-277.001;-493.273;0;42;SC;Santa Catarina;ALFREDO WAGNER;-
2500577;Algodão de Jandaíra;-689.292;-360.129;0;25;PB;Paraíba;ALGODAO DE JANDAIRA;-
2500601;Alhandra;-742.977;-349.057;0;25;PB;Paraíba;ALHANDRA;-
2600708;Aliança;-760.398;-352.227;0;26;PE;Pernambuco;ALIANCA;-
1700350;Aliança do Tocantins;-113.056;-489.361;0;17;TO;Tocantins;ALIANCA DO TOCANTINS;-
2900900;Almadina;-147.089;-396.415;0;29;BA;Bahia;ALMADINA;-
1700400;Almas;-115.706;-471.792;0;17;TO;Tocantins;ALMAS;-
1500503;Almeirim;-152.904;-525.788;0;15;PA;Pará;ALMEIRIM;-
2400604;Almino Afonso;-61.475;-377.636;0;24;RN;Rio Grande do Norte;ALMINO AFONSO;-
4100400;Almirante Tamandaré;-253.188;-493.037;0;41;PR;Paraná;ALMIRANTE TAMANDARE;-
4300471;Almirante Tamandaré do Sul;-281.149;-529.142;0;43;RS;Rio Grande do Sul;ALMIRANTE TAMANDARE DO SUL;-
5200506;Aloândia;-177.292;-494.769;0;52;GO;Goiás;ALOANDIA;-
3101805;Alpercata;-18.974;-41.97;0;31;MG;Minas Gerais;ALPERCATA;-
4300505;Alpestre;-272.502;-530.341;0;43;RS;Rio Grande do Sul;ALPESTRE;-
5100250;Alta Floresta;-986.674;-560.867;0;51;MT;Mato Grosso;ALTA FLORESTA;-
1100015;Alta Floresta D'Oeste;-119.283;-619.953;0;11;RO;Rondônia;ALTA FLORESTA D'OESTE;-
3500907;Altair;-205.242;-490.571;0;35;SP;São Paulo;ALTAIR;-
1500602;Altamira;-320.407;-52.21;0;15;PA;Pará;ALTAMIRA;-
2100402;Altamira do Maranhão;-416.598;-454.706;0;21;MA;Maranhão;ALTAMIRA DO MARANHAO;-
4100459;Altamira do Paraná;-247.983;-527.128;0;41;PR;Paraná;ALTAMIRA DO PARANA;-
2300606;Altaneira;-699.837;-397.356;0;23;CE;Ceará;ALTANEIRA;-
2600807;Altinho;-848.482;-360.644;0;26;PE;Pernambuco;ALTINHO;-
3501004;Altinópolis;-210.214;-473.712;0;35;SP;São Paulo;ALTINOPOLIS;-
3501103;Alto Alegre;-215.811;-50.168;0;35;SP;São Paulo;ALTO ALEGRE;-
1400050;Alto Alegre;298.858;-613.072;0;14;RR;Roraima;ALTO ALEGRE;-
4300554;Alto Alegre;-287.769;-529.893;0;43;RS;Rio Grande do Sul;ALTO ALEGRE;-
2100436;Alto Alegre do Maranhão;-4.213;-44.446;0;21;MA;Maranhão;ALTO ALEGRE DO MARANHAO;-
2100477;Alto Alegre do Pindaré;-366.689;-458.421;0;21;MA;Maranhão;ALTO ALEGRE DO PINDARE;-
1100379;Alto Alegre dos Parecis;-12.132;-61.835;0;11;RO;Rondônia;ALTO ALEGRE DOS PARECIS;-
5100300;Alto Araguaia;-173.153;-532.181;0;51;MT;Mato Grosso;ALTO ARAGUAIA;-
4200754;Alto Bela Vista;-274.333;-519.044;0;42;SC;Santa Catarina;ALTO BELA VISTA;-
5100359;Alto Boa Vista;-116.732;-513.883;0;51;MT;Mato Grosso;ALTO BOA VISTA;-
2400703;Alto do Rodrigues;-528.186;-36.75;0;24;RN;Rio Grande do Norte;ALTO DO RODRIGUES;-
4300570;Alto Feliz;-293.919;-513.123;0;43;RS;Rio Grande do Sul;ALTO FELIZ;-
5100409;Alto Garças;-169.462;-535.272;0;51;MT;Mato Grosso;ALTO GARCAS;-
5200555;Alto Horizonte;-141.978;-493.378;0;52;GO;Goiás;ALTO HORIZONTE;-
2200301;Alto Longá;-525.634;-422.096;0;22;PI;Piauí;ALTO LONGA;-
4128625;Alto Paraíso;-261.146;-527.469;0;41;PR;Paraná;ALTO PARAISO;-
1100403;Alto Paraíso;-971.429;-633.188;0;11;RO;Rondônia;ALTO PARAISO;-
5200605;Alto Paraíso de Goiás;-141.305;-47.51;0;52;GO;Goiás;ALTO PARAISO DE GOIAS;-
4100608;Alto Paraná;-231.312;-523.189;0;41;PR;Paraná;ALTO PARANA;-
2100501;Alto Parnaíba;-910.273;-459.303;0;21;MA;Maranhão;ALTO PARNAIBA;-
4100707;Alto Piquiri;-240.224;-53.44;0;41;PR;Paraná;ALTO PIQUIRI;-
2300705;Alto Santo;-550.894;-382.743;0;23;CE;Ceará;ALTO SANTO;-
5100607;Alto Taquari;-178.241;-532.792;0;51;MT;Mato Grosso;ALTO TAQUARI;-
4100509;Altônia;-238.759;-538.958;0;41;PR;Paraná;ALTONIA;-
2200400;Altos;-503.888;-424.612;0;22;PI;Piauí;ALTOS;-
3501152;Alumínio;-235.306;-472.546;0;35;SP;São Paulo;ALUMINIO;-
1300029;Alvarães;-322.727;-648.007;0;13;AM;Amazonas;ALVARAES;-
3102209;Alvarenga;-194.174;-417.317;0;31;MG;Minas Gerais;ALVARENGA;-
3501202;Álvares Florence;-203.203;-499.141;0;35;SP;São Paulo;ALVARES FLORENCE;-
3501301;Álvares Machado;-220.764;-514.722;0;35;SP;São Paulo;ALVARES MACHADO;-
3501400;Álvaro de Carvalho;-220.841;-49.719;0;35;SP;São Paulo;ALVARO DE CARVALHO;-
3501509;Alvinlândia;-224.435;-497.623;0;35;SP;São Paulo;ALVINLANDIA;-
1700707;Alvorada;-124.785;-491.249;0;17;TO;Tocantins;ALVORADA;-
4300604;Alvorada;-299.914;-510.809;0;43;RS;Rio Grande do Sul;ALVORADA;-
2200459;Alvorada do Gurguéia;-842.418;-43.777;0;22;PI;Piauí;ALVORADA DO GURGUEIA;-
5200803;Alvorada do Norte;-144.797;-46.491;0;52;GO;Goiás;ALVORADA DO NORTE;-
4100806;Alvorada do Sul;-227.813;-512.297;0;41;PR;Paraná;ALVORADA DO SUL;-
1400027;Amajari;364.571;-613.692;0;14;RR;Roraima;AMAJARI;-
1600105;Amapá;205.267;-507.957;0;16;AP;Amapá;AMAPA;-
2100550;Amapá do Maranhão;-167.524;-460.024;0;21;MA;Maranhão;AMAPA DO MARANHAO;-
4100905;Amaporã;-230.943;-527.866;0;41;PR;Paraná;AMAPORA;-
2600906;Amaraji;-837.691;-354.501;0;26;PE;Pernambuco;AMARAJI;-
4300638;Amaral Ferrador;-308.756;-522.509;0;43;RS;Rio Grande do Sul;AMARAL FERRADOR;-
5200829;Amaralina;-139.236;-492.962;0;52;GO;Goiás;AMARALINA;-
2200509;Amarante;-624.304;-428.433;0;22;PI;Piauí;AMARANTE;-
2100600;Amarante do Maranhão;-556.913;-467.473;0;21;MA;Maranhão;AMARANTE DO MARANHAO;-
2901007;Amargosa;-130.215;-39.602;0;29;BA;Bahia;AMARGOSA;-
1300060;Amaturá;-337.455;-682.005;0;13;AM;Amazonas;AMATURA;-
2901106;Amélia Rodrigues;-123.914;-387.563;0;29;BA;Bahia;AMELIA RODRIGUES;-
2901155;América Dourada;-114.429;-41.439;0;29;BA;Bahia;AMERICA DOURADA;-
5200852;Americano do Brasil;-162.514;-499.831;0;52;GO;Goiás;AMERICANO DO BRASIL;-
3501707;Américo Brasiliense;-217.288;-481.147;0;35;SP;São Paulo;AMERICO BRASILIENSE;-
3501806;Américo de Campos;-202.985;-497.359;0;35;SP;São Paulo;AMERICO DE CAMPOS;-
4300646;Ametista do Sul;-273.607;-53.183;0;43;RS;Rio Grande do Sul;AMETISTA DO SUL;-
2300754;Amontada;-336.017;-398.288;0;23;CE;Ceará;AMONTADA;-
5200902;Amorinópolis;-166.151;-510.919;0;52;GO;Goiás;AMORINOPOLIS;-
2500734;Amparo;-755.502;-370.628;0;25;PB;Paraíba;AMPARO;-
3501905;Amparo;-227.088;-46.772;0;35;SP;São Paulo;AMPARO;-
2800100;Amparo de São Francisco;-101.348;-36.935;0;28;SE;Sergipe;AMPARO DE SAO FRANCISCO;-
3102506;Amparo do Serra;-205.051;-428.009;0;31;MG;Minas Gerais;AMPARO DO SERRA;-
4101002;Ampére;-259.168;-534.686;0;41;PR;Paraná;AMPERE;-
2700201;Anadia;-968.489;-363.078;0;27;AL;Alagoas;ANADIA;-
2901205;Anagé;-146.151;-411.356;0;29;BA;Bahia;ANAGE;-
4101051;Anahy;-246.449;-531.332;0;41;PR;Paraná;ANAHY;-
1500701;Anajás;-0.996811;-499.354;0;15;PA;Pará;ANAJAS;-
2100709;Anajatuba;-326.269;-446.126;0;21;MA;Maranhão;ANAJATUBA;-
3502002;Analândia;-221.289;-476.619;0;35;SP;São Paulo;ANALANDIA;-
1300086;Anamã;-356.697;-613.963;0;13;AM;Amazonas;ANAMA;-
1701002;Ananás;-636.437;-480.735;0;17;TO;Tocantins;ANANAS;-
1500800;Ananindeua;-136.391;-483.743;0;15;PA;Pará;ANANINDEUA;-
5201108;Anápolis;-163.281;-48.953;0;52;GO;Goiás;ANAPOLIS;-
1500859;Anapu;-346.985;-512.003;0;15;PA;Pará;ANAPU;-
2100808;Anapurus;-367.577;-431.014;0;21;MA;Maranhão;ANAPURUS;-
5000807;Anaurilândia;-221.852;-527.191;0;50;MS;Mato Grosso do Sul;ANAURILANDIA;-
4200804;Anchieta;-265.382;-533.319;0;42;SC;Santa Catarina;ANCHIETA;-
3200409;Anchieta;-207.955;-406.425;0;32;ES;Espírito Santo;ANCHIETA;-
2901304;Andaraí;-128.049;-413.297;0;29;BA;Bahia;ANDARAI;-
4101101;Andirá;-230.533;-502.304;0;41;PR;Paraná;ANDIRA;-
2901353;Andorinha;-103.482;-398.391;0;29;BA;Bahia;ANDORINHA;-
3502101;Andradina;-208.948;-513.786;0;35;SP;São Paulo;ANDRADINA;-
4300661;André da Rocha;-286.283;-515.797;0;43;RS;Rio Grande do Sul;ANDRE DA ROCHA;-
3502200;Angatuba;-234.917;-484.139;0;35;SP;São Paulo;ANGATUBA;-
2601003;Angelim;-888.429;-362.902;0;26;PE;Pernambuco;ANGELIM;-
4200903;Angelina;-275.704;-489.879;0;42;SC;Santa Catarina;ANGELINA;-
2901403;Angical;-120.063;-447.003;0;29;BA;Bahia;ANGICAL;-
2200608;Angical do Piauí;-608.786;-42.74;0;22;PI;Piauí;ANGICAL DO PIAUI;-
1701051;Angico;-639.179;-478.611;0;17;TO;Tocantins;ANGICO;-
2400802;Angicos;-565.792;-366.094;0;24;RN;Rio Grande do Norte;ANGICOS;-
2901502;Anguera;-121.462;-392.462;0;29;BA;Bahia;ANGUERA;-
4101150;Ângulo;-231.946;-519.154;0;41;PR;Paraná;ANGULO;-
